date,mktrf,smb,hml,rf,umd
198204,0.032700,0.014700,-0.027000,0.01130,-0.004100
198205,-0.039900,0.005200,0.017600,0.01060,0.025500
198206,-0.030900,-0.004000,0.015500,0.00960,0.050000
198207,-0.031900,0.008300,0.000900,0.01050,0.044700
198208,0.111400,-0.041300,0.009300,0.00760,-0.035200
198209,0.012900,0.029600,0.002700,0.00510,0.041700
198210,0.113000,0.023500,-0.036700,0.00590,0.000300
198211,0.046700,0.046600,-0.018500,0.00630,0.058900
198212,0.005500,-0.002500,0.000100,0.00670,0.000200
198301,0.036000,0.027100,-0.007100,0.00690,-0.017000
198302,0.025900,0.032800,0.007000,0.00620,0.038300
198303,0.028200,0.017400,0.020100,0.00630,0.009300
198304,0.066700,0.004900,0.005100,0.00710,0.018000
198305,0.005200,0.062600,-0.014200,0.00690,-0.015900
198306,0.030700,0.009500,-0.039100,0.00670,0.017800
198307,-0.040700,0.014900,0.056200,0.00740,-0.031300
198308,-0.005000,-0.042700,0.055400,0.00760,-0.054400
198309,0.009100,0.006200,0.010100,0.00760,-0.001000
198310,-0.034400,-0.035700,0.049700,0.00760,-0.045600
198311,0.021600,0.020200,-0.007300,0.00700,-0.000900
198312,-0.017800,-0.002700,0.017000,0.00730,0.007400
198401,-0.019200,-0.003700,0.075700,0.00760,-0.024900
198402,-0.048200,-0.016900,0.033400,0.00710,0.001900
198403,0.006300,0.000700,0.004700,0.00730,0.010900
198404,-0.005100,-0.011600,0.011900,0.00810,0.020500
198405,-0.059700,0.000700,0.002900,0.00780,0.015200
198406,0.018200,-0.003100,-0.026600,0.00750,-0.007000
198407,-0.027400,-0.022100,0.003300,0.00820,0.029300
198408,0.102800,-0.002400,-0.018000,0.00830,-0.056900
198409,-0.008000,0.001800,0.052300,0.00860,0.036700
198410,-0.008400,-0.012300,0.004700,0.01000,0.032100
198411,-0.017600,-0.006300,0.040400,0.00730,0.017000
198412,0.018400,-0.005600,-0.002500,0.00640,0.015400
198501,0.079900,0.033000,-0.053300,0.00650,-0.069000
198502,0.012200,0.008000,-0.001000,0.00580,0.018200
198503,-0.008400,-0.010700,0.040700,0.00620,0.016800
198504,-0.009600,0.001500,0.037200,0.00720,0.030600
198505,0.050900,-0.022200,-0.009400,0.00660,0.040000
198506,0.012700,0.005600,0.004700,0.00550,0.036300
198507,-0.007400,0.028500,-0.016000,0.00620,-0.039400
198508,-0.010200,-0.003100,0.022800,0.00550,0.018200
198509,-0.045400,-0.015900,0.012900,0.00600,0.014800
198510,0.040200,-0.015100,0.007500,0.00650,0.048800
198511,0.064800,0.002500,-0.028400,0.00610,-0.004000
198512,0.038800,-0.005100,-0.015400,0.00650,-0.001300
198601,0.006500,0.012100,0.004400,0.00560,0.029600
198602,0.071300,-0.005600,-0.007700,0.00530,0.027800
198603,0.048800,-0.005800,-0.003700,0.00600,0.024500
198604,-0.013100,0.027800,-0.028600,0.00520,-0.005000
198605,0.046200,-0.013500,-0.002100,0.00490,0.020200
198606,0.010300,-0.009500,0.013000,0.00520,0.051600
198607,-0.064500,-0.033600,0.047000,0.00520,0.018000
198608,0.060700,-0.041700,0.035100,0.00460,-0.050100
198609,-0.086000,0.023600,0.032200,0.00450,-0.058600
198610,0.046600,-0.025000,-0.014200,0.00460,0.026900
198611,0.011700,-0.019100,-0.000700,0.00390,-0.003200
198612,-0.032700,0.001300,0.003600,0.00490,0.004000
198701,0.124700,-0.018100,-0.031600,0.00420,0.021000
198702,0.043900,0.034900,-0.059100,0.00430,-0.021700
198703,0.016400,0.004500,0.016100,0.00470,0.016000
198704,-0.021100,-0.016900,-0.003900,0.00440,0.002600
198705,0.001100,-0.005000,0.002300,0.00380,-0.006800
198706,0.039400,-0.021200,0.010400,0.00480,-0.002000
198707,0.038500,-0.006600,0.007300,0.00460,0.026700
198708,0.035200,-0.007700,-0.009500,0.00470,-0.008700
198709,-0.025900,0.005600,0.003000,0.00450,0.007100
198710,-0.232400,-0.084000,0.042300,0.00600,-0.078600
198711,-0.077700,0.027500,0.029600,0.00350,-0.011400
198712,0.068100,0.001200,-0.043900,0.00390,0.058300
198801,0.042100,-0.007600,0.049500,0.00290,-0.075800
198802,0.047500,0.033400,-0.016900,0.00460,-0.015400
198803,-0.022700,0.061400,0.007400,0.00440,0.006300
198804,0.005600,0.009800,0.016300,0.00460,0.022500
198805,-0.002900,-0.026100,0.024200,0.00510,0.006400
198806,0.047900,0.021000,-0.012200,0.00490,-0.029100
198807,-0.012500,-0.002600,0.021700,0.00510,0.006300
198808,-0.033100,0.000400,0.021000,0.00590,0.003300
198809,0.033000,-0.013000,-0.007500,0.00620,0.002300
198810,0.011500,-0.029200,0.016900,0.00610,0.013100
198811,-0.022900,-0.017100,0.013000,0.00570,0.004200
198812,0.014900,0.019700,-0.016100,0.00630,0.004200
198901,0.061000,-0.022200,0.006200,0.00550,-0.001400
198902,-0.022500,0.028200,0.009300,0.00610,0.009400
198903,0.015700,0.006700,0.005400,0.00670,0.035600
198904,0.043300,-0.006800,-0.014000,0.00670,0.016900
198905,0.033500,-0.000500,-0.008700,0.00790,0.015600
198906,-0.013500,-0.010200,0.022300,0.00710,0.006300
198907,0.072000,-0.041600,-0.027900,0.00700,0.054100
198908,0.014400,0.005600,0.006000,0.00740,-0.001500
198909,-0.007600,0.003200,-0.012700,0.00650,0.034000
